,,company_location
1552,,Peru
1554,,Ecuador
1566,,Japan
1569,,Canada
1584,,Spain
1591,,U.S.A
1592,,U.S.A
1596,,U.S.A
1599,,Peru
1601,,U.S.A
1607,,U.k.
1609,,U.S.A
1610,,U.S.A
1611,,Canada
1612,,Belgium
1628,,U.S.A
1631,,U.S.A
1632,,U.S.A
1641,,U.S.A
1643,,U.S.A
1651,,France
1677,,U.S.A
1679,,South korea
1680,,U.k.
1690,,Italy
1696,,Brazil
1702,,Canada
1705,,Mexico
1707,,U.S.A
1713,,Guatemala
1714,,U.S.A
1717,,France
1718,,U.S.A
1723,,Ecuador
1728,,U.S.A
1740,,U.S.A
1743,,South korea
1746,,Madagascar
1748,,U.S.A
1764,,Hungary
1772,,Italy
1775,,U.S.A
1777,,Argentina
1781,,Ecuador
1782,,Colombia
1787,,France
1788,,U.S.A
1805,,U.k.
1807,,U.S.A
1812,,U.S.A
1815,,U.S.A
1821,,U.S.A
1823,,Peru
1825,,Costa rica
1827,,Italy
1831,,Canada
1843,,U.S.A
1845,,Australia
1862,,U.S.A
1865,,Netherlands
1866,,India
1867,,U.S.A
1869,,U.k.
1872,,New zealand
1874,,U.S.A
1882,,Canada
1934,,U.S.A
1936,,Canada
1942,,U.S.A
1945,,Australia
1949,,U.S.A
1952,,Switzerland
1953,,U.S.A
1955,,U.S.A
1960,,Switzerland
1962,,U.S.A
1965,,U.S.A
1968,,U.S.A
1970,,Denmark
1972,,Venezuela
1974,,Sweden
1976,,Japan
1981,,Canada
1984,,Hungary
1999,,U.S.A
2003,,Japan
2007,,Vietnam
2009,,Suriname
2010,,U.S.A
2013,,Switzerland
2015,,U.S.A
2019,,U.S.A
2026,,U.S.A
2040,,U.S.A
2052,,Sweden
2053,,U.S.A
2059,,Japan
2060,,U.S.A
2061,,Colombia
2063,,Germany
2064,,U.S.A
2065,,Ecuador
2066,,U.S.A
2069,,U.k.
2073,,South korea
2074,,U.S.A
2075,,Peru
2077,,Canada
2080,,U.S.A
2087,,U.S.A
2088,,Canada
2091,,U.S.A
2093,,U.S.A
2095,,Italy
2096,,Spain
2098,,Canada
2099,,France
2121,,Madagascar
2124,,U.S.A
2129,,U.S.A
2134,,France
2135,,U.S.A
2136,,U.S.A
2137,,U.S.A
2142,,U.S.A
2147,,New zealand
2150,,U.S.A
2152,,Ireland
2156,,U.k.
2163,,U.S.A
2168,,U.S.A
2176,,Dominican republic
2177,,El salvador
2180,,U.S.A
2182,,U.S.A
2188,,Austria
2194,,Australia
2199,,Belgium
2203,,Austria
